,Time,NNodes,MaxVMSize,NCPUS,ElapsedNum,NodelistSplit
34183,18.0915,5.0,0.0,5.0,1.8272800925925927,5.0
34184,18.092,5.0,0.0,5.0,1.8272800925925927,5.0
34185,18.0925,5.0,0.0,5.0,1.8272800925925927,5.0
34186,18.093,5.0,0.0,5.0,1.8272800925925927,5.0
34187,18.0935,5.0,0.0,5.0,1.8272800925925927,5.0
34188,18.094,5.0,0.0,5.0,1.8272800925925927,5.0
34189,18.0945,5.0,0.0,5.0,1.8272800925925927,5.0
34190,18.095,5.0,0.0,5.0,1.8272800925925927,5.0
34191,18.0955,5.0,0.0,5.0,1.8272800925925927,5.0
34192,18.096,5.0,0.0,5.0,1.8272800925925927,5.0
34193,18.0965,5.0,0.0,5.0,1.8272800925925927,5.0
34194,18.097,5.0,0.0,5.0,1.8272800925925927,5.0
34195,18.0975,5.0,0.0,5.0,1.8272800925925927,5.0
34196,18.098,5.0,0.0,5.0,1.8272800925925927,5.0
34197,18.0985,5.0,0.0,5.0,1.8272800925925927,5.0
34198,18.099,5.0,0.0,5.0,1.8272800925925927,5.0
34199,18.0995,5.0,0.0,5.0,1.8272800925925927,5.0
34200,18.1,5.0,0.0,5.0,1.8272800925925927,5.0
34201,18.1005,5.0,0.0,5.0,1.8272800925925927,5.0
34202,18.101,5.0,0.0,5.0,1.8272800925925927,5.0
34203,18.1015,5.0,0.0,5.0,1.8272800925925927,5.0
34204,18.102,5.0,0.0,5.0,1.8272800925925927,5.0
34205,18.1025,5.0,0.0,5.0,1.8272800925925927,5.0
34206,18.103,5.0,0.0,5.0,1.8272800925925927,5.0
34207,18.1035,5.0,0.0,5.0,1.8272800925925927,5.0
34208,18.104,5.0,0.0,5.0,1.8272800925925927,5.0
34209,18.1045,5.0,0.0,5.0,1.8272800925925927,5.0
34210,18.105,5.0,0.0,5.0,1.8272800925925927,5.0
34211,18.1055,5.0,0.0,5.0,1.8272800925925927,5.0
34212,18.106,5.0,0.0,5.0,1.8272800925925927,5.0
34213,18.1065,5.0,0.0,5.0,1.8272800925925927,5.0
34214,18.107,5.0,0.0,5.0,1.8272800925925927,5.0
34215,18.1075,5.0,0.0,5.0,1.8272800925925927,5.0
34216,18.108,5.0,0.0,5.0,1.8272800925925927,5.0
34217,18.1085,5.0,0.0,5.0,1.8272800925925927,5.0
34218,18.109,5.0,0.0,5.0,1.8272800925925927,5.0
34219,18.1095,5.0,0.0,5.0,1.8272800925925927,5.0
34220,18.11,5.0,0.0,5.0,1.8272800925925927,5.0
34221,18.1105,5.0,0.0,5.0,1.8272800925925927,5.0
34222,18.111,5.0,0.0,5.0,1.8272800925925927,5.0
34223,18.1115,5.0,0.0,5.0,1.8272800925925927,5.0
34224,18.112,5.0,0.0,5.0,1.8272800925925927,5.0
34225,18.1125,5.0,0.0,5.0,1.8272800925925927,5.0
34226,18.113,5.0,0.0,5.0,1.8272800925925927,5.0
34227,18.1135,5.0,0.0,5.0,1.8272800925925927,5.0
34228,18.114,5.0,0.0,5.0,1.8272800925925927,5.0
34229,18.1145,5.0,0.0,5.0,1.8272800925925927,5.0
34230,18.115,5.0,0.0,5.0,1.8272800925925927,5.0
34231,18.1155,5.0,0.0,5.0,1.8272800925925927,5.0
34232,18.116,5.0,0.0,5.0,1.8272800925925927,5.0
34233,18.1165,5.0,0.0,5.0,1.8272800925925927,5.0
34234,18.117,5.0,0.0,5.0,1.8272800925925927,5.0
34235,18.1175,5.0,0.0,5.0,1.8272800925925927,5.0
34236,18.118,5.0,0.0,5.0,1.8272800925925927,5.0
34237,18.1185,5.0,0.0,5.0,1.8272800925925927,5.0
34238,18.119,5.0,0.0,5.0,1.8272800925925927,5.0
34239,18.1195,5.0,0.0,5.0,1.8272800925925927,5.0
34240,18.12,5.0,0.0,5.0,1.8272800925925927,5.0
34241,18.1205,5.0,0.0,5.0,1.8272800925925927,5.0
34242,18.121,5.0,0.0,5.0,1.8272800925925927,5.0
34243,18.1215,5.0,0.0,5.0,1.8272800925925927,5.0
34244,18.122,5.0,0.0,5.0,1.8272800925925927,5.0
34245,18.1225,5.0,0.0,5.0,1.8272800925925927,5.0
34246,18.123,5.0,0.0,5.0,1.8272800925925927,5.0
34247,18.1235,5.0,0.0,5.0,1.8272800925925927,5.0
34248,18.124,5.0,0.0,5.0,1.8272800925925927,5.0
34249,18.1245,5.0,0.0,5.0,1.8272800925925927,5.0
34250,18.125,5.0,0.0,5.0,1.8272800925925927,5.0
34251,18.1255,5.0,0.0,5.0,1.8272800925925927,5.0
34252,18.126,5.0,0.0,5.0,1.8272800925925927,5.0
34253,18.1265,5.0,0.0,5.0,1.8272800925925927,5.0
34254,18.127,5.0,0.0,5.0,1.8272800925925927,5.0
34255,18.1275,5.0,0.0,5.0,1.8272800925925927,5.0
34256,18.128,5.0,0.0,5.0,1.8272800925925927,5.0
34257,18.1285,5.0,0.0,5.0,1.8272800925925927,5.0
34258,18.129,5.0,0.0,5.0,1.8272800925925927,5.0
